Gene	A_vs_B-FC	A_vs_B-p	A_vs_B-FDR	C_vs_B-FC	C_vs_B-p	C_vs_B-FDR	C_vs_D-FC	C_vs_D-p	C_vs_D-FDR	C_vs_E-FC	C_vs_E-p	C_vs_E-FDR
1700023L04Rik	0.04	0.95	0.96	-2.3	0.071	0.36	-1.2	0.083	0.27	-1.2	0.0054	0.037
1700024B05Rik	1.6	0.32	0.42	-0.04	0.86	0.9	1.5	0.26	0.59	-0.1	0.64	0.68
1700024G13Rik	-2.1	0.16	0.24	-1.4	0.2	0.69	-1.3	0.22	0.58	0.8	0.024	0.1
1700024J04Rik	0.16	0.002	0.0048	-0.04	0.86	0.9	0.06	0.77	0.8	-0.1	0.64	0.68
1700024N20Rik	0.16	0.002	0.0048	-0.04	0.86	0.9	0.06	0.77	0.8	-0.1	0.64	0.68
1700024P03Rik	0.16	0.002	0.0048	-0.04	0.86	0.9	0.06	0.77	0.8	-0.1	0.64	0.68
1700024P04Rik	0.16	0.002	0.0048	-0.04	0.86	0.9	0.06	0.77	0.8	-0.1	0.64	0.68
1700024P16Rik	-0.76	0.6	0.68	-0.59	0.52	0.9	-2.6	0.11	0.35	-1.8	0.048	0.17
1700025C18Rik	0.16	0.002	0.0048	-0.04	0.86	0.9	0.06	0.77	0.8	-0.1	0.64	0.68
1700025D23Rik	0.16	0.002	0.0048	-0.04	0.86	0.9	0.06	0.77	0.8	-0.1	0.64	0.68
1700025F22Rik	0.16	0.002	0.0048	-0.04	0.86	0.9	0.06	0.77	0.8	-0.1	0.64	0.68
1700025G04Rik	-0.03	0.75	0.81	1.2	0.00038	0.043	2	5.1e-05	0.008	2	4.3e-05	0.007
1700025N21Rik	0.16	0.002	0.0048	-0.04	0.86	0.9	0.06	0.77	0.8	-0.1	0.64	0.68
1700025O08Rik	0.16	0.002	0.0048	-0.04	0.86	0.9	0.06	0.77	0.8	-0.1	0.64	0.68
1700026D08Rik	0.16	0.002	0.0048	-0.03	0.98	0.98	-0.73	0.37	0.77	-0.9	0.28	0.63
1700026D11Rik	0.16	0.002	0.0048	1.1	0.29	0.82	0.06	0.77	0.8	-0.1	0.64	0.68
1700026J12Rik	0.16	0.002	0.0048	-0.04	0.86	0.9	0.06	0.77	0.8	-0.1	0.64	0.68
1700026L06Rik	-0.86	0.12	0.2	1.6	0.17	0.63	2.2	0.031	0.13	3.1	0.007	0.043
1700027A07Rik	-0.63	0.46	0.55	-0.84	0.23	0.75	-0.73	0.26	0.59	-0.1	0.91	0.93
1700028I16Rik	0.31	0.86	0.9	-0.45	0.33	0.84	-3.3	0.081	0.27	-3.6	0.00059	0.012
1700028J19Rik	-1.1	0.026	0.054	0.32	0.66	0.9	0.5	0.33	0.71	1.6	0.019	0.084
1700028K03Rik	2.1	0.015	0.032	-0.07	0.93	0.95	-3.7	0.011	0.063	-5.8	0.0017	0.02
1700028N14Rik	0.16	0.002	0.0048	0.87	0.57	0.9	-1.5	0.26	0.59	-1.7	0.22	0.54
1700028P14Rik	0.95	0.3	0.4	1.9	0.013	0.13	0.85	0.26	0.59	-0.1	0.64	0.68
1700028P15Rik	0.16	0.002	0.0048	-0.04	0.86	0.9	0.06	0.77	0.8	-0.1	0.64	0.68
1700029F12Rik	0.16	0.002	0.0048	-0.04	0.86	0.9	0.06	0.77	0.8	-0.1	0.64	0.68
1700029H14Rik	-1	0.43	0.53	-0.04	0.86	0.9	0.06	0.77	0.8	1.1	0.31	0.67
1700029I15Rik	-0.09	0.8	0.85	1.2	0.11	0.48	0.6	0.25	0.59	0.69	0.19	0.48
1700029J07Rik	-1.1	0.0097	0.022	-0.94	0.069	0.36	0.64	0.12	0.35	1.8	0.0073	0.044
1700029M20Rik	0.95	0.3	0.4	-3.1	0.012	0.13	-4.6	0.0035	0.032	-5.5	4.4e-05	0.007
1700029P11Rik	4.3	0.01	0.023	-0.62	0.17	0.63	-4.6	0.0029	0.029	-8.8	5.1e-05	0.007
1700030A11Rik	-1.2	0.42	0.52	-0.04	0.86	0.9	0.06	0.77	0.8	1.3	0.3	0.66
1700030C10Rik	0.05	0.93	0.94	-0.28	0.23	0.75	-1.2	0.026	0.11	-1.3	0.016	0.076
1700030C12Rik	-1	0.43	0.53	-0.05	0.96	0.97	-0.73	0.26	0.59	0.27	0.81	0.83
1700030C14Rik	0.16	0.002	0.0048	-0.04	0.86	0.9	0.06	0.77	0.8	-0.1	0.64	0.68
1700030J22Rik	-0.22	0.32	0.42	-0.33	0.25	0.77	-0.06	0.74	0.8	0.16	0.4	0.68
1700030K09Rik	-0.14	0.19	0.29	-0.24	0.49	0.9	0.37	0.061	0.21	0.52	0.035	0.13
1700031A10Rik	0.16	0.002	0.0048	0.33	0.77	0.9	-0.73	0.26	0.59	-0.89	0.19	0.48
1700031F05Rik	2.8	0.078	0.14	6.5	0.006	0.093	1.6	0.3	0.66	-1.3	0.27	0.63
1700031F10Rik	0.16	0.002	0.0048	-0.04	0.86	0.9	0.06	0.77	0.8	-0.1	0.64	0.68
1700034E13Rik	0.16	0.002	0.0048	-0.04	0.86	0.9	0.06	0.77	0.8	-0.1	0.64	0.68
1700034H15Rik	-0.12	0.82	0.87	-0.66	0.013	0.13	-0.16	0.7	0.8	-0.04	0.88	0.89
1700034I23Rik	0.16	0.002	0.0048	-0.04	0.86	0.9	0.06	0.77	0.8	-0.1	0.64	0.68
1700034J04Rik	0.16	0.002	0.0048	-0.04	0.86	0.9	0.06	0.77	0.8	-0.1	0.64	0.68
1700034J05Rik	0.16	0.002	0.0048	-0.04	0.86	0.9	0.06	0.77	0.8	-0.1	0.64	0.68
1700034O15Rik	0.16	0.002	0.0048	-0.04	0.86	0.9	0.06	0.77	0.8	-0.1	0.64	0.68
1700036A12Rik	0.16	0.002	0.0048	-0.04	0.86	0.9	0.06	0.77	0.8	-0.1	0.64	0.68
1700036O09Rik	0.16	0.002	0.0048	-0.04	0.86	0.9	0.06	0.77	0.8	-0.1	0.64	0.68
1700037C06Rik	0.16	0.002	0.0048	-0.04	0.86	0.9	0.06	0.77	0.8	-0.1	0.64	0.68
1700037C18Rik	0.3	0.49	0.58	0.44	0.71	0.9	1.8	0.066	0.23	1.6	0.08	0.24
1700037H04Rik	-0.1	0.58	0.66	-0.27	0.61	0.9	0.5	0.18	0.5	0.6	0.14	0.39
1700039E15Rik	0.16	0.002	0.0048	1.1	0.33	0.84	0.06	0.77	0.8	-0.1	0.64	0.68
1700039E22Rik	0.16	0.002	0.0048	-0.04	0.86	0.9	0.06	0.77	0.8	-0.1	0.64	0.68
1700040F15Rik	0.16	0.002	0.0048	-0.04	0.86	0.9	0.06	0.77	0.8	-0.1	0.64	0.68
1700040L02Rik	0.16	0.002	0.0048	0.75	0.3	0.82	0.06	0.77	0.8	-0.1	0.64	0.68
1700040N02Rik	0.16	0.002	0.0048	-0.04	0.86	0.9	0.06	0.77	0.8	-0.1	0.64	0.68
1700041G16Rik	-1	0.43	0.53	-0.04	0.86	0.9	0.06	0.77	0.8	1.1	0.31	0.67
1700041M05Rik	0.16	0.002	0.0048	-0.04	0.86	0.9	0.06	0.77	0.8	-0.1	0.64	0.68
1700042B14Rik	0.16	0.002	0.0048	-0.04	0.86	0.9	0.06	0.77	0.8	-0.1	0.64	0.68
1700042G07Rik	0.16	0.002	0.0048	-0.04	0.86	0.9	0.06	0.77	0.8	-0.1	0.64	0.68
1700042G15Rik	0.16	0.002	0.0048	-0.04	0.86	0.9	0.06	0.77	0.8	-0.1	0.64	0.68
1700042O10Rik	1.3	0.42	0.52	0.73	0.13	0.53	0.49	0.22	0.58	-0.81	0.52	0.68
1700045H11Rik	0.16	0.002	0.0048	-0.04	0.86	0.9	0.06	0.77	0.8	-0.1	0.64	0.68
1700045I11Rik	0.16	0.002	0.0048	-0.04	0.86	0.9	0.06	0.77	0.8	-0.1	0.64	0.68
1700045I11RIK	0.16	0.002	0.0048	-0.04	0.86	0.9	0.06	0.77	0.8	-0.1	0.64	0.68
1700046C09Rik	0.16	0.002	0.0048	-0.04	0.86	0.9	0.06	0.77	0.8	-0.1	0.64	0.68
1700047A11Rik	0.16	0.002	0.0048	-0.04	0.86	0.9	0.06	0.77	0.8	-0.1	0.64	0.68
1700047F07Rik	0.16	0.002	0.0048	-1.2	0.24	0.76	-1.1	0.26	0.59	-1.2	0.21	0.51
1700047I17Rik2	0.16	0.002	0.0048	-0.04	0.86	0.9	0.06	0.77	0.8	-0.1	0.64	0.68
1700047K16Rik	-0.63	0.46	0.55	-0.04	0.86	0.9	1.6	0.0019	0.023	2.3	0.027	0.11
1700048O20Rik	0.22	0.37	0.47	0.54	0.13	0.54	0.46	0.13	0.39	0.24	0.37	0.68
1700049E15Rik	0.16	0.002	0.0048	-0.04	0.86	0.9	0.06	0.77	0.8	-0.1	0.64	0.68
1700049E17Rik1	0.16	0.002	0.0048	-0.04	0.86	0.9	0.06	0.77	0.8	-0.1	0.64	0.68
1700049E17Rik2	0.16	0.002	0.0048	-0.04	0.86	0.9	0.06	0.77	0.8	-0.1	0.64	0.68
1700049G17Rik	-0.87	0.0019	0.0048	0.54	0.14	0.57	0.33	0.21	0.56	1.2	0.008	0.047
1700049J03Rik	1.3	0.32	0.42	-0.04	0.86	0.9	1.2	0.26	0.59	-0.1	0.64	0.68
1700049L16Rik	-0.21	0.76	0.81	1.1	0.082	0.4	0.06	0.93	0.95	0.27	0.59	0.68
1700051A21Rik	0.16	0.002	0.0048	-0.04	0.86	0.9	0.06	0.77	0.8	-0.1	0.64	0.68
1700051O22Rik	0.16	0.002	0.0048	-0.04	0.86	0.9	0.06	0.77	0.8	-0.1	0.64	0.68
1700052N19Rik	-0.13	0.39	0.49	-0.26	0.055	0.31	-0.36	0.035	0.14	-0.23	0.069	0.22
1700054M17Rik	0.16	0.002	0.0048	-0.04	0.86	0.9	0.06	0.77	0.8	-0.1	0.64	0.68
1700054O13Rik	0.16	0.002	0.0048	-0.04	0.86	0.9	0.06	0.77	0.8	-0.1	0.64	0.68
1700055C04Rik	0.16	0.002	0.0048	-0.04	0.86	0.9	0.06	0.77	0.8	-0.1	0.64	0.68
1700055D18Rik	-0.52	0.013	0.029	-1.5	0.02	0.17	-0.18	0.54	0.8	0.33	0.3	0.66
1700055N04Rik	-1	0.43	0.53	-0.04	0.86	0.9	0.06	0.77	0.8	1.1	0.31	0.67
1700056E22Rik	-0.43	0.61	0.69	0.88	0.56	0.9	1.7	0.23	0.59	2.2	0.17	0.44
1700056N10Rik	1.9	0.11	0.18	-0.7	0.45	0.9	0.45	0.64	0.8	-1.4	0.21	0.51
1700057G04Rik	0.16	0.002	0.0048	-1.4	0.31	0.83	-1.3	0.32	0.7	-1.5	0.27	0.62
1700057H15Rik	0.16	0.002	0.0048	-0.03	0.98	0.98	-0.73	0.37	0.77	-0.9	0.28	0.63
1700057H21Rik	0.16	0.002	0.0048	-4	0.00026	0.043	-3.9	0.00017	0.0099	-4.1	0.00016	0.0083
1700058G18Rik	0.16	0.002	0.0048	-0.04	0.86	0.9	0.06	0.77	0.8	-0.1	0.64	0.68
1700058P15Rik	0.95	0.3	0.4	-0.04	0.86	0.9	0.85	0.26	0.59	-0.1	0.64	0.68
1700060C16Rik	0.16	0.002	0.0048	-0.04	0.86	0.9	0.06	0.77	0.8	-0.1	0.64	0.68
1700060C20Rik	0.16	0.002	0.0048	-0.04	0.86	0.9	0.06	0.77	0.8	-0.1	0.64	0.68
1700060J05Rik	-0.63	0.46	0.55	-0.04	0.86	0.9	0.06	0.77	0.8	0.69	0.34	0.68
1700061E18Rik	-1	0.43	0.53	-0.04	0.86	0.9	0.06	0.77	0.8	1.1	0.31	0.67
1700061F12Rik	0.16	0.002	0.0048	-0.04	0.86	0.9	0.06	0.77	0.8	-0.1	0.64	0.68
1700061G19Rik	0.95	0.6	0.68	-3.2	0.0013	0.052	-7.3	0.0062	0.045	-8.3	0.00045	0.011
1700061H18Rik	0.16	0.002	0.0048	-0.04	0.86	0.9	0.06	0.77	0.8	-0.1	0.64	0.68
1700061I17Rik	0.16	0.002	0.0048	-0.04	0.86	0.9	0.06	0.77	0.8	-0.1	0.64	0.68
1700061J23Rik	0.16	0.002	0.0048	-0.04	0.86	0.9	0.06	0.77	0.8	-0.1	0.64	0.68
1700062I23Rik	0.16	0.002	0.0048	-0.04	0.86	0.9	0.06	0.77	0.8	-0.1	0.64	0.68
1700063H04Rik	0.16	0.002	0.0048	-0.62	0.22	0.74	-4.7	0.00053	0.013	-4.9	0.00045	0.011
1700064E03Rik	1.8	0.21	0.31	-0.37	0.54	0.9	-1	0.26	0.59	-2.8	0.026	0.1
1700064H15Rik	0.16	0.002	0.0048	-0.04	0.86	0.9	0.06	0.77	0.8	-0.1	0.64	0.68
1700065D16Rik	1.1	0.13	0.22	0.13	0.79	0.9	0.99	0.061	0.22	-0.11	0.85	0.87
1700065I17Rik	1.3	0.32	0.42	1.4	0.28	0.82	1.2	0.26	0.59	-0.1	0.64	0.68
1700066B19Rik	-0.35	0.72	0.78	-1.4	0.026	0.2	-2.4	0.029	0.13	-2	0.021	0.091
1700066J24Rik	0.16	0.89	0.91	-0.04	0.86	0.9	0.85	0.26	0.59	0.69	0.34	0.68
1700066M21Rik	0.4	0.15	0.23	0.74	0.056	0.31	0.4	0.04	0.16	0	1	1
1700066O22Rik	0.16	0.002	0.0048	-0.04	0.86	0.9	0.06	0.77	0.8	-0.1	0.64	0.68
1700067G03Rik	0.16	0.002	0.0048	-0.04	0.86	0.9	0.06	0.77	0.8	-0.1	0.64	0.68
1700067K01Rik	0.95	0.3	0.4	-0.14	0.78	0.9	-0.99	0.006	0.044	-1.9	0.043	0.15
1700067P10Rik	0.16	0.002	0.0048	-0.04	0.86	0.9	0.06	0.77	0.8	-0.1	0.64	0.68
1700069B07Rik	0.95	0.29	0.4	-0.04	0.86	0.9	0.85	0.26	0.59	-0.1	0.64	0.68
1700069L16Rik	-1	0.43	0.53	-0.83	0.33	0.84	-0.73	0.37	0.77	0.27	0.83	0.85
1700071G01Rik	0.16	0.002	0.0048	-0.04	0.86	0.9	0.06	0.77	0.8	-0.1	0.64	0.68
1700071K01Rik	-0.21	0.88	0.91	-0.04	0.86	0.9	0.85	0.26	0.59	1.1	0.31	0.67
1700071M16Rik	0.16	0.002	0.0048	-0.04	0.86	0.9	0.06	0.77	0.8	-0.1	0.64	0.68
1700073E17Rik	0.16	0.002	0.0048	-0.84	0.23	0.75	-0.73	0.26	0.59	-0.89	0.19	0.48
1700074P13Rik	0.16	0.002	0.0048	-0.04	0.86	0.9	0.06	0.77	0.8	-0.1	0.64	0.68
1700080E11Rik	0.16	0.002	0.0048	-0.04	0.86	0.9	0.06	0.77	0.8	-0.1	0.64	0.68
1700080G11Rik	0.53	0.71	0.78	-0.04	0.86	0.9	1.2	0.26	0.59	0.69	0.34	0.68
1700080N15Rik	0.16	0.002	0.0048	-0.04	0.86	0.9	0.06	0.77	0.8	-0.1	0.64	0.68
1700080O16Rik	0.16	0.002	0.0048	4.1	0.021	0.18	-1.1	0.34	0.72	-1.3	0.27	0.63
1700081H22Rik	0.16	0.002	0.0048	-0.04	0.86	0.9	0.06	0.77	0.8	-0.1	0.64	0.68
1700082M22Rik	-0.12	0.89	0.92	2.4	0.19	0.68	1.8	0.13	0.38	1.9	0.031	0.12
1700084C01Rik	-1.8	0.092	0.16	-1.3	0.021	0.18	-1.5	0.024	0.11	0.31	0.56	0.68
1700084C06Rik	-0.9	0.44	0.54	-0.04	0.86	0.9	1.6	0.0019	0.023	2.5	0.043	0.15
1700084E18Rik	0.16	0.002	0.0048	-0.83	0.33	0.84	-0.73	0.37	0.77	-0.9	0.28	0.63
1700084J12Rik	1.2	0.14	0.22	-0.35	0.31	0.83	0.05	0.86	0.89	-1.2	0.077	0.24
1700084M14Rik	0.16	0.002	0.0048	1.5	0.31	0.83	0.06	0.77	0.8	-0.1	0.64	0.68
1700085B03Rik	0.16	0.002	0.0048	-0.04	0.86	0.9	0.06	0.77	0.8	-0.1	0.64	0.68
1700086D15Rik	-1.2	0.42	0.52	-0.96	0.58	0.9	-1.7	0.31	0.68	-0.43	0.82	0.84
1700086L19Rik	-1.4	0.21	0.31	2.6	0.052	0.3	3.3	0.047	0.18	4.7	0.0068	0.042
1700086P04Rik	-0.94	0.15	0.24	-0.93	0.031	0.22	-2.5	0.0062	0.045	-1.6	0.0041	0.031
1700087M22Rik	0.16	0.002	0.0048	-0.04	0.86	0.9	0.06	0.77	0.8	-0.1	0.64	0.68
1700088E04Rik	-0.84	0.16	0.24	0.79	0.033	0.23	2.1	0.0021	0.025	2.9	0.0017	0.02
1700091E21Rik	-1.8	0.022	0.047	-0.04	0.86	0.9	0.06	0.77	0.8	1.8	0.0082	0.047
1700091H14Rik	0.16	0.002	0.0048	-0.04	0.86	0.9	0.06	0.77	0.8	-0.1	0.64	0.68
1700092C02Rik	0.16	0.002	0.0048	-0.04	0.86	0.9	0.06	0.77	0.8	-0.1	0.64	0.68
1700092C10Rik	0.16	0.002	0.0048	0.21	0.9	0.93	-1.1	0.34	0.72	-1.3	0.27	0.63
1700092C17Rik	0.16	0.002	0.0048	-0.04	0.86	0.9	0.06	0.77	0.8	-0.1	0.64	0.68
1700092E19Rik	0.16	0.002	0.0048	-0.04	0.86	0.9	0.06	0.77	0.8	-0.1	0.64	0.68
1700092K14Rik	0.16	0.002	0.0048	-0.04	0.86	0.9	0.06	0.77	0.8	-0.1	0.64	0.68
1700092M07Rik	-0.88	0.29	0.4	-0.89	0.04	0.25	-0.84	0.24	0.59	0.05	0.87	0.89
1700093J21Rik	0.16	0.92	0.94	0.75	0.3	0.82	1.2	0.26	0.59	1.1	0.31	0.67
1700093K21Rik	-0.45	0.78	0.83	0.04	0.98	0.99	-1.4	0.47	0.8	-0.95	0.65	0.69
1700094C10Rik	0.16	0.002	0.0048	-0.04	0.86	0.9	0.06	0.77	0.8	-0.1	0.64	0.68
1700094D03Rik	-0.49	0.024	0.05	0.08	0.8	0.9	-0.04	0.79	0.82	0.45	0.064	0.21
1700095A21Rik	0.16	0.002	0.0048	-0.04	0.86	0.9	0.06	0.77	0.8	-0.1	0.64	0.68
1700095B22Rik	-0.63	0.46	0.55	-0.04	0.86	0.9	0.06	0.77	0.8	0.69	0.34	0.68
1700095J03Rik	-3	0.041	0.08	2.2	0.092	0.43	0.07	0.95	0.96	3.1	0.018	0.08
1700095J07Rik	0.16	0.002	0.0048	-0.04	0.86	0.9	0.06	0.77	0.8	-0.1	0.64	0.68
1700095J12Rik	0.16	0.002	0.0048	-0.04	0.86	0.9	0.06	0.77	0.8	-0.1	0.64	0.68
1700099I09Rik	0.16	0.002	0.0048	-0.04	0.86	0.9	0.06	0.77	0.8	-0.1	0.64	0.68
1700101E01Rik	0.06	0.92	0.94	-1.3	0.031	0.22	-1.1	0.037	0.15	-1.2	0.094	0.28
1700101G07Rik	0.16	0.002	0.0048	0.75	0.3	0.82	0.06	0.77	0.8	-0.1	0.64	0.68
1700101I19Rik	0.16	0.002	0.0048	-0.04	0.86	0.9	0.06	0.77	0.8	-0.1	0.64	0.68
1700102P08Rik	-0.66	0.31	0.42	-0.92	0.1	0.46	-2.4	0.0057	0.043	-1.7	0.014	0.068
1700104A03Rik	0.16	0.002	0.0048	-0.04	0.86	0.9	0.06	0.77	0.8	-0.1	0.64	0.68
1700104B16Rik	0.16	0.002	0.0048	-0.04	0.86	0.9	0.06	0.77	0.8	-0.1	0.64	0.68
1700106J16Rik	-0.65	0.5	0.59	-3.1	0.0062	0.093	-0.76	0.32	0.7	-0.1	0.89	0.91
1700108N11Rik	0.16	0.002	0.0048	-0.04	0.86	0.9	0.06	0.77	0.8	-0.1	0.64	0.68
1700109F18Rik	-2.1	0.14	0.22	1.9	0.31	0.83	0.85	0.26	0.59	2.9	0.0089	0.05
1700109G15Rik	0.16	0.002	0.0048	-0.04	0.86	0.9	0.06	0.77	0.8	-0.1	0.64	0.68
1700109H08Rik	-0.86	0.074	0.13	1.1	0.17	0.64	0.84	0.19	0.52	1.7	0.029	0.11
1700110I01Rik	0.16	0.002	0.0048	-0.04	0.86	0.9	0.06	0.77	0.8	-0.1	0.64	0.68
1700110K17Rik	0.58	0.63	0.7	1	0.55	0.9	0.86	0.3	0.66	0.26	0.83	0.85
1700110M21Rik	0.16	0.002	0.0048	-0.04	0.86	0.9	0.06	0.77	0.8	-0.1	0.64	0.68
1700111E14Rik	0.16	0.002	0.0048	-0.04	0.86	0.9	0.06	0.77	0.8	-0.1	0.64	0.68
1700112D23Rik	1.3	0.32	0.42	-1.4	0.31	0.83	0.99	0.45	0.8	-0.35	0.82	0.85
1700112E06Rik	0.12	0.88	0.91	2.4	0.089	0.42	3.6	0.028	0.12	3.5	0.045	0.16
1700112J05Rik	0.16	0.002	0.0048	-0.04	0.86	0.9	0.06	0.77	0.8	-0.1	0.64	0.68
1700112K13Rik	0.16	0.002	0.0048	-0.04	0.86	0.9	0.06	0.77	0.8	-0.1	0.64	0.68
1700112M01Rik	0.16	0.002	0.0048	-0.04	0.86	0.9	0.06	0.77	0.8	-0.1	0.64	0.68
1700113H08Rik	0.4	0.59	0.67	-0.04	0.86	0.9	2.3	0.015	0.081	1.8	0.0082	0.047
1700116B05Rik	0.16	0.002	0.0048	-0.39	0.75	0.9	-1.1	0.34	0.72	-1.3	0.27	0.63
1700119I11Rik	0.16	0.002	0.0048	-0.04	0.86	0.9	0.06	0.77	0.8	-0.1	0.64	0.68
1700120B22Rik	-1	0.43	0.53	0.75	0.3	0.82	0.06	0.77	0.8	1.1	0.31	0.67
1700120E14Rik	0.16	0.002	0.0048	-0.04	0.86	0.9	0.06	0.77	0.8	-0.1	0.64	0.68
1700120G11Rik	0.16	0.002	0.0048	-0.04	0.86	0.9	0.06	0.77	0.8	-0.1	0.64	0.68
1700120O09Rik	0.16	0.002	0.0048	-0.04	0.86	0.9	0.06	0.77	0.8	-0.1	0.64	0.68
1700121C08Rik	0.16	0.002	0.0048	1.4	0.28	0.82	0.06	0.77	0.8	-0.1	0.64	0.68
1700121F15Rik	0.16	0.002	0.0048	-0.04	0.86	0.9	0.06	0.77	0.8	-0.1	0.64	0.68
1700121N20Rik	1.6	0.32	0.42	-2.8	0.039	0.25	-1.3	0.4	0.8	-2.8	0.031	0.12
1700122E12Rik	-0.23	0.68	0.75	-2.7	0.037	0.24	-0.65	0.31	0.68	-0.41	0.46	0.68
1700122O11Rik	0.16	0.76	0.82	-0.04	0.86	0.9	2	0.0065	0.046	1.8	0.0082	0.047
1700123I01Rik	1.1	0.48	0.56	-0.67	0.077	0.38	-3.9	0.00017	0.0099	-5	0.014	0.068
1700123K08Rik	0.16	0.002	0.0048	-0.04	0.86	0.9	0.06	0.77	0.8	-0.1	0.64	0.68
1700123L14Rik	0.16	0.002	0.0048	-0.04	0.86	0.9	0.06	0.77	0.8	-0.1	0.64	0.68
1700123M08Rik	-0.39	0.44	0.53	0.35	0.3	0.82	0.28	0.43	0.8	0.67	0.2	0.5
1700123O12Rik	0.16	0.002	0.0048	-0.04	0.86	0.9	0.06	0.77	0.8	-0.1	0.64	0.68
1700123O20Rik	0.17	0.014	0.031	0.15	0.22	0.75	0.09	0.22	0.58	-0.08	0.34	0.68
1700125G02Rik	0.16	0.002	0.0048	-0.04	0.86	0.9	0.06	0.77	0.8	-0.1	0.64	0.68
1700125H03Rik	0.16	0.002	0.0048	-0.84	0.23	0.75	-0.73	0.26	0.59	-0.89	0.19	0.48
1700125H20Rik	-2.4	0.09	0.15	2.8	0.00057	0.043	0.85	0.26	0.59	3.3	0.0034	0.028
1700128E19Rik	-2.3	0.0089	0.02	-0.04	0.86	0.9	4	0.00021	0.01	6.2	6.1e-05	0.007
1700128F08Rik	0.95	0.3	0.4	-0.04	0.86	0.9	0.85	0.26	0.59	-0.1	0.64	0.68
1700129C05Rik	0.16	0.002	0.0048	-0.04	0.86	0.9	0.06	0.77	0.8	-0.1	0.64	0.68
1810007I06Rik	0.16	0.002	0.0048	-0.04	0.86	0.9	0.06	0.77	0.8	-0.1	0.64	0.68
1810009A15Rik	0.36	0.038	0.074	-0.73	0.034	0.23	-0.52	0.043	0.17	-0.89	0.011	0.057
1810009J06Rik	0.16	0.002	0.0048	-0.04	0.86	0.9	0.06	0.77	0.8	-0.1	0.64	0.68
1810009N23Rik	0.16	0.002	0.0048	-0.04	0.86	0.9	0.06	0.77	0.8	-0.1	0.64	0.68
1810010H24Rik	-2.5	0.037	0.072	0.27	0.46	0.9	0.95	0.0068	0.048	3.5	0.0039	0.03
1810010K12Rik	0.16	0.002	0.0048	-0.04	0.86	0.9	0.06	0.77	0.8	-0.1	0.64	0.68
1810011H11Rik	1.3	0.32	0.42	-0.04	0.86	0.9	1.2	0.26	0.59	-0.1	0.64	0.68
1810011O10Rik	-1.3	0.025	0.051	-0.75	0.22	0.75	1.6	0.037	0.15	2.9	0.0069	0.043
1810012K08Rik	0.16	0.002	0.0048	-0.04	0.86	0.9	0.06	0.77	0.8	-0.1	0.64	0.68
1810013D15Rik	-1	0.31	0.41	-1.6	0.25	0.77	-0.74	0.6	0.8	0.27	0.83	0.85
1810013L24Rik	-0.14	0.19	0.28	0.18	0.42	0.9	-0.51	0.032	0.14	-0.37	0.088	0.26
1810019D21Rik	-0.1	0.56	0.64	-1.9	0.0036	0.074	-0.51	0.097	0.31	-0.4	0.13	0.37
1810019J16Rik	0.46	0.22	0.32	0.22	0.79	0.9	-0.08	0.91	0.93	-0.54	0.48	0.68
1810020O05Rik	-2.1	0.32	0.42	1.5	0.066	0.34	-1.1	0.5	0.8	0.99	0.016	0.075
1810021B22Rik	0.02	0.91	0.93	-0.03	0.98	0.99	2.9	0.00053	0.013	2.9	0.00032	0.0098
1810022K09Rik	0.32	0.017	0.036	-0.71	0.0094	0.11	-0.96	0.0011	0.019	-1.3	0.00045	0.011
1810024B03Rik	-0.61	0.01	0.023	0.25	0.45	0.9	0.29	0.3	0.66	0.9	0.03	0.12
1810026J23Rik	-0.17	0.033	0.066	-0.03	0.83	0.9	0.04	0.75	0.8	0.21	0.19	0.49
1810030O07Rik	0.19	0.26	0.36	0.02	0.9	0.93	-0.12	0.53	0.8	-0.32	0.21	0.52
1810032O08Rik	0.92	0.068	0.12	-0.87	0.011	0.12	-0.34	0.013	0.072	-1.3	0.011	0.057
1810033B17Rik	0.16	0.89	0.91	0.34	0.78	0.9	0.07	0.95	0.96	-0.1	0.92	0.93
1810035I16Rik	0.16	0.002	0.0048	-0.04	0.86	0.9	0.06	0.77	0.8	-0.1	0.64	0.68
1810037I17Rik	-0.29	0.11	0.18	0.09	0.44	0.9	-0.56	0.0088	0.056	-0.27	0.14	0.39
1810041L15Rik	-0.57	0.13	0.2	1.2	0.1	0.46	1.4	0.054	0.2	2	0.023	0.096
1810043G02Rik	-0.38	0.059	0.11	0.68	0.14	0.57	1.8	0.0027	0.029	2.1	0.0017	0.02
1810043H04Rik	0.35	0.24	0.34	0.02	0.98	0.99	0.64	0.12	0.37	0.29	0.34	0.68
1810046K07Rik	0.16	0.002	0.0048	-0.04	0.86	0.9	0.06	0.77	0.8	-0.1	0.64	0.68
1810049J17Rik	1.3	0.31	0.41	1.1	0.33	0.84	1.2	0.26	0.59	-0.1	0.64	0.68
1810055G02Rik	0.33	0.013	0.03	0.04	0.93	0.95	0.43	0.14	0.4	0.1	0.69	0.73
1810058I24Rik	-0.14	0.52	0.6	-0.01	0.98	0.98	0.56	0.12	0.35	0.7	0.08	0.24
1810058N05Rik	-2	0.051	0.097	1.4	0.28	0.82	0.06	0.77	0.8	2.1	0.018	0.082
1810059C17Rik	-2	0.4	0.51	-0.04	0.86	0.9	0.06	0.77	0.8	2	0.29	0.64
